카드이름,은행,이미지URL,전월실적,연회비,카드종류,혜택
삼성 iD SIMPLE 카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2376/card_img/27725/2376card.png,0,"국내전용 [7,000원] / 해외겸용 [7,000원]",신용,"{'쇼핑': '온라인쇼핑몰 멤버십 정기결제 시 50% 할인(최대 5,000원), 전월 이용금액 30만원 이상 시 제공.', 'OTT/영화/문화': '영화 티켓 10,000원 이상 결제 시 3,000원 할인, 월 1회 제공.', '기타 혜택(유의사항 등)': '국내외 가맹점에서 10만원 미만 결제 시 0.7% 할인, 10만원 이상 결제 시 1% 할인 제공.'}"
LOCA LIKIT 1.2,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2261/card_img/21011/2261card.png,0,"국내전용 [10,000]원 / 해외겸용 [10,000]원",신용,"{'쇼핑': '온라인 쇼핑 시 1.5% 결제일 할인 혜택 제공.', '기타 혜택(유의사항 등)': '국내외 가맹점에서 1.2% 결제일 할인 혜택을 제공하며, 실적조건 및 할인한도는 없습니다.'}"
삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/49/card_img/42288/49card.png,0,"국내전용 [47,000]원 / 해외겸용 [49,000]원",신용,"{'주유': '주유소 이용 시 1,000원당 2 스카이패스 마일리지 특별적립.', '마트/편의점': '편의점 이용 시 1,000원당 스카이패스 2 마일리지 특별적립.', '카페/디저트': '스타벅스, 커피빈 등에서 1,000원당 2 스카이패스 마일리지 특별적립.', '공항라운지/PP': '아멕스 카드 소지자는 인천공항 마티나 라운지를 본인 무료로 이용할 수 있으며, 전월 30만원 이상 이용 시 제공됩니다.', '프리미엄': '아멕스 PLATINUM 카드로 공항 할인, 렌터카 우대, 호텔 및 식음료 할인, 면세점 혜택, 스파 할인 등 다양한 프리미엄 서비스를 이용할 수 있습니다.', '해외': '해외 가맹점 및 해외 직접구매 이용 시 1,000원당 2 스카이패스 마일리지 특별적립.', '기타 혜택(유의사항 등)': '- 대한항공: 1,000원당 스카이패스 1 마일리지 적립, 전월 이용금액 관계없이 적립.\n- 백화점: 1,000원당 스카이패스 2 마일리지 특별적립, 통합 월 적립한도 2,000 마일리지.\n- 택시: 1,000원당 스카이패스 2 마일리지 특별적립, 통합 월 적립한도 2,000 마일리지.\n- 공항 발렛파킹: 인천공항에서 카드 제시 시 발렛파킹 무료 제공, 전월 이용금액 30만원 이상 시 제공.\n- 공항 커피 서비스: 인천·김포공항 내 주요 커피 매장에서 핫 아메리카노 무료 제공, 전월 이용금액 30만원 이상 시 제공.'}"
삼성 iD GLOBAL 카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2676/card_img/32887/2676card_2.png,500000,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,"{'공항라운지/PP': '공항 라운지 서비스는 월 1회, 연 2회 무료 이용 가능하며, 전월 이용금액 50만원 이상 시 제공됩니다.', '해외': '해외 가맹점 및 직접구매 이용 시 2% 할인, 월 할인한도 30만원.', '기타 혜택(유의사항 등)': '해외 수수료 할인, 삼성페이 결제 시 5% 할인, 디지털 구독 50% 할인, 일상 필수 영역 1% 할인, 국내 가맹점 0.5% 할인 혜택 제공.'}"
taptap DIGITAL,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/657/card_img/27715/657card.png,300000,"국내전용 [10,000]원 / 해외겸용 [10,000]원",신용,"{'마트/편의점': '편의점, 헬스&뷰티, 생활잡화에서 10% 청구할인 제공, 월 최대 5,000원 한도.', '간편결제': '온라인 간편결제 이용 시 전월 이용금액에 따라 최대 20,000원 청구할인 제공.', '해외': '해외 가맹점 및 직접구매 시 전월 이용금액 관계없이 1.5% 청구할인 제공, 단 월 최대 50만원 한도.', '기타 혜택(유의사항 등)': '디지털 구독 서비스 이용 시, 전월 이용금액에 따라 스트리밍 정기결제 시 최대 10,000원 청구할인 제공.'}"
올바른 FLEX 카드,NH농협카드,https://d1c5n4ri2guedi.cloudfront.net/card/666/card_img/21431/666card.png,300000,"국내전용 [10,000]원 / 해외겸용 [12,000]원",신용,"{'쇼핑': '쿠팡, G마켓, 11번가, 티몬, 농협몰에서 2만원 이상 결제 시 5% 청구할인, CU, GS25에서 5천원 이상 결제 시 5% 청구할인 제공.', '카페/디저트': '스타벅스에서 사이렌오더 포함 50% 청구할인, 일 1회 및 월 2회 제공, 한도는 일 5천원, 월 1만원.', 'OTT/영화/문화': 'CGV, 롯데시네마에서 1만원 이상 결제 시 30% 청구할인 (월 한도 5천원).', '간편결제': 'NH pay로 2만원 이상 결제 시 건당 1천원 청구할인 (일 1회, 월 2회 한도).', '공항라운지/PP': '국제공항 라운지 무료 이용 연 1회 제공.', '기타 혜택(유의사항 등)': '- 유튜브프리미엄, 넷플릭스, 멜론 정기결제 20% 청구할인(이용건당 7천원 이상), 배달의민족, 요기요 10% 청구할인(이용건당 1만5천원 이상), 대중교통 및 통신요금 7% 청구할인 제공.'}"
우리카드 MILE&POINT,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2898/card_img/44541/2898card.png,500000,"국내전용 [75,000]원 / 해외겸용 [75,000]원",신용,"{'공항라운지/PP': '전월 50만원 이상 이용 시 국내외 1,000여개 공항라운지 무료 이용, 연 2회 제공.', '기타 혜택(유의사항 등)': '대한항공 카드로 국내 가맹점 이용 시 1,500원당 1마일 적립, 해외 가맹점 이용 시 최대 2마일 적립 가능.'}"
American Express® Gold Card Edition2,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2663/card_img/32407/2663card.png,500000,"해외겸용 [300,000]원",신용,"{'공항라운지/PP': '전 세계 공항 라운지 연 10회 무료 이용 및 공항 리무진·철도 티켓 연 12회 무료 제공(각각 전월 이용금액 50만원 이상 시).', '프리미엄': '- 공항 및 국내 특급 호텔 무료 발레파킹 서비스 제공 (전월 이용금액 50만원 이상 시, 월 5회 한도).\n- 호텔 레스토랑 및 패밀리 레스토랑에서 할인 제공 (전월 이용금액 50만원 이상 시).\n- The Hotel Collection 이용 시 객실 업그레이드 및 100달러 호텔 크레딧 제공 (연속 2박 이상 예약 시).\n- 본인 회원에게 메탈 플레이트 제공 (재발급 시 수수료 10만원).', '기타 혜택(유의사항 등)': '연간 25만원 상당의 바우처와 다양한 쇼핑 및 트래블 혜택 제공.'}"
우리카드 7CORE,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2851/card_img/43400/2851.png,500000,"해외겸용 [50,000]원",신용,{'기타 혜택(유의사항 등)': '7대 생활영역에서 10% 청구할인 제공.'}
카드의정석 EVERY DISCOUNT,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2719/card_img/46400/2719card.png,0,"국내전용 [12,000]원 / 해외겸용 [12,000]원",신용,"{'간편결제': '국내 온라인 간편결제(우리WON페이, 네이버페이, 카카오페이) 시 2% 추가 청구할인 제공.', '기타 혜택(유의사항 등)': '국내외 가맹점에서 0.8% 청구할인 제공, 전월실적 조건 및 할인한도 없음.'}"
굿데이카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/106/card_img/20264/106card.png,300000,"국내전용 [5,000]원 / 해외겸용 [10,000]원",신용,"{'교통': '버스, 지하철, 택시 업종에서 10% 청구할인 제공, 전월 결제금액에 따라 할인 한도 적용.', '주유': '주유소 및 충전소에서 리터당 60원 청구할인, 월 최대 10만원 한도.', '통신': '전화요금, 인터넷이용료, 케이블TV 업종에서 10% 청구할인 제공.', '기타 혜택(유의사항 등)': '음식점, 커피전문점, 편의점, 약국에서 10% 추가 청구할인 제공.'}"
디지로카 London,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2632/card_img/41192/2632card.png,0,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,{'기타 혜택(유의사항 등)': '국내외 가맹점 0.7% 캐시백과 즉시결제 및 Weekly 자동결제 시 각각 1% 추가 캐시백 제공.'}
삼성 iD SELECT ON 카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2886/card_img/44215/2886card_1.png,300000,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,"{'쇼핑': '금/토/일에 온라인 패션몰 10%, 온라인 쇼핑몰 5%, 음식점 5% 할인 제공.', '간편결제': '온라인 간편결제 시 1% 할인 제공.', '해외': '해외 가맹점 및 직접구매 시 2% 결제일 할인 제공.', '기타 혜택(유의사항 등)': '선택형 할인 혜택과 일반음식점, 생활, 디지털구독 분야에서 다양한 할인 제공.'}"
디지로카 Las Vegas,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2707/card_img/34645/2707card.png,0,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,{'기타 혜택(유의사항 등)': '디지로카 Las Vegas 카드로 국내외 가맹점 결제 시 최대 2.0% 할인 및 5만원 이상 결제 시 2~3개월 무이자 할부 혜택 제공.'}
WE:SH Travel,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2685/card_img/37137/2685ard_2.png,300000,"국내전용 [25,000]원 / 해외겸용 [25,000]원",신용,"{'교통': '철도 및 고속버스 10% 할인, 월 1만원 한도 (연 6만원).', '쇼핑': '온라인 항공 및 면세점에서 KB Pay 결제 시 5% 할인, 월 최대 2만원 한도.', '공항라운지/PP': '전 세계 공항 라운지 무료 이용(연 2회), 전월 국내 이용실적 30만원 이상 시 제공.', '해외': '해외 이용 시 환율우대 100% (USD 기준) 제공.', '기타 혜택(유의사항 등)': '해외 이용 수수료 1.25% 면제 및 자주 쓰는 일상 영역 10% 할인 제공.'}"
신한카드 Air One,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/466/card_img/37854/466card.png,500000,"해외겸용 [49,000]원",신용,"{'프리미엄': '프리미엄 서비스는 플래티늄 서비스 안내장 및 신한카드, 아메리칸 익스프레스 홈페이지에서 확인 가능.', '기타 혜택(유의사항 등)': '대한항공 마일리지 적립 서비스는 국내외 이용금액 1,000원당 1마일리지 기본 적립, 국내 항공/면세 및 해외 이용 시 추가 1마일리지 적립이 가능하며, 신라면세점 온라인 이용 시 추가 적립도 제공됩니다.'}"
대한항공카드 300,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2711/card_img/45301/2711card_1.png,500000,"국내전용 [300,000]원 / 해외겸용 [300,000]원",신용,"{'프리미엄': '프리미엄 카드 혜택으로 메탈 플레이트 제공, 공항 라운지 무료 이용(연 10회), 공항 및 호텔 발레파킹 무료 이용(월 10회) 제공.', '기타 혜택(유의사항 등)': '대한항공 카드로 전월 50만원 이상 이용 시 국내 가맹점 1천원당 1 마일리지, 추가 혜택으로 특정 가맹점 1천원당 3 마일리지 적립 가능.'}"
카드의정석 TEN,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2699/card_img/34252/2699card.png,400000,"국내전용 [12,000]원 / 해외겸용 [12,000]원",신용,"{'기타 혜택(유의사항 등)': 'TEN Discount: 5대 일상영역에서 10% 청구할인 제공, ONE Discount: 음식점/주점 및 온라인 간편결제 1% 청구할인 제공.'}"
신한카드 Deep Oil,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/39/card_img/31864/39card.png,300000,"해외겸용 [10,000]원",신용,"{'주유': '선택한 정유사에서 주유 이용금액 10% 할인 (연 1회 변경 가능).', '마트/편의점': 'GS25와 CU에서 5% 결제일 할인 제공.', '카페/디저트': '스타벅스, 이디야에서 5% 결제일 할인 제공.', '자동차/하이패스': '스피드메이트 10% 할인 및 전국 주차장 10% 할인 제공, 단 특정 조건 충족 시 가능.', 'OTT/영화/문화': '롯데시네마에서 일반관 영화 예매 시 1일 1회 할인 제공, 단 특정 조건 및 제한 있음.', '기타 혜택(유의사항 등)': '택시 결제 시 5% 할인 제공, 오프라인 일반결제만 가능.'}"
대한항공카드 060,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2709/card_img/45294/2709card_1.png,500000,"국내전용 [60,000]원 / 해외겸용 [60,000]원",신용,"{'프리미엄': 'Visa Platinum 기본서비스 제공, 2026년 12월 31일까지 이용 가능.', '기타 혜택(유의사항 등)': '대한항공 카드로 전월 50만원 이상 이용 시 국내 가맹점 1천원당 1 마일리지, 추가 혜택으로 대한항공 직판 항공권 및 해외 가맹점에서 1천원당 2 마일리지 적립.'}"
the OPUS silver,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2902/card_img/44665/2902card_1.png,500000,"국내전용 [150,000]원 / 해외겸용 [150,000]원",신용,"{'공항라운지/PP': '국내외 공항라운지 무료 이용(본인+동반 1인, 전월 50만원 이상 이용 시 월 2회, 연 4회).', '기타 혜택(유의사항 등)': '최대 13만원 프리미엄 바우처 제공(연 1회 선택 가능) 및 다양한 적립 혜택 제공.'}"
신한카드 The CLASSIC-S,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/945/card_img/21598/945card.png,0,"국내전용 [97,000]원 / 해외겸용 [100,000]원",신용,"{'공항라운지/PP': '전 세계 1,000여개 공항 라운지를 연간 5회 무료 이용할 수 있는 혜택 제공.', '프리미엄': '국제브랜드사 서비스에 대한 상세 안내는 각 브랜드사별 홈페이지를 참조해야 합니다.', '해외': '해외 일시불 및 면세점 이용 시 2% 마이신한포인트 추가 적립, 월 최대 5만 포인트.', '기타 혜택(유의사항 등)': '일시불·할부 이용금액의 1%를 기본적으로 마이신한포인트로 적립하며, 전월 300만원 이상 이용 시 추가로 0.5% 적립됩니다.'}"
신한카드 Point Plan,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2666/card_img/32452/2666card.png,0,"국내전용 [20,000]원 / 해외겸용 [23,000]원",신용,"{'기타 혜택(유의사항 등)': '국내 결제 시 0.5~3% 포인트 적립, 해외 결제 시 1% 적립, 주말 외식비 2만원 이상 결제 시 1천 포인트 적립, 정기결제 자동납부 시 2만원당 1천 포인트 적립.'}"
zgm.streaming카드,NH농협카드,https://d1c5n4ri2guedi.cloudfront.net/card/2428/card_img/27226/2428card.png,400000,"국내전용 [12,000]원 / 해외겸용 [12,000]원",신용,"{'카페/디저트': '스타벅스 사이렌오더 결제 시 50% 청구 할인(월 5천원 한도, 전월실적 40만원 이상).', '간편결제': '온라인 간편결제 시 5% 청구 할인(전월실적 40만원 이상, 건당 2만원 이상, 월 한도 3천원).', '기타 혜택(유의사항 등)': '디지털 구독 서비스 이용 시 멤버십 요금 7천원 청구 할인 및 스트리밍 요금 50% 청구 할인 제공.'}"
현대카드ZERO Edition3(할인형),현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2646/card_img/39624/2646card_3.png,0,"국내전용 [15,000]원 / 해외겸용 [15,000]원",신용,"{'기타 혜택(유의사항 등)': '국내외 가맹점 이용 금액의 0.8% 청구 할인, 전월 실적 및 한도 제한 없음.'}"
카드의정석 EVERY MILE SKYPASS,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2553/card_img/44235/2553card.png,0,"국내전용 [39,000]원 / 해외겸용 [39,000]원",신용,"{'공항라운지/PP': '국내 공항라운지 연 2회 무료 이용 가능, 본인회원 전월 50만원 이상 사용 시 제공.', '기타 혜택(유의사항 등)': '대한항공 카드로 이용금액 1천원당 SKYPASS 1마일리지 적립, 해외 가맹점 이용 시 추가로 1천 마일 적립 한도 있음.'}"
대한항공카드 the First Edition2,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2712/card_img/45304/2712card_1.png,500000,"국내전용 [800,000]원 / 해외겸용 [800,000]원",신용,"{'프리미엄': '프리미엄 카드 혜택으로 메탈 플레이트 제공, 공항 라운지 및 호텔 발레파킹 무료 이용 가능.', '기타 혜택(유의사항 등)': '대한항공 카드로 전월 50만원 이상 이용 시 국내 가맹점 1천원당 1 마일리지, 추가 혜택으로 특정 가맹점 이용 시 1천원당 최대 5 마일리지 적립 가능.'}"
에너지플러스 현대카드,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2942/card_img/46756/2942card_1.png,400000,"국내전용 [10,000]원 / 해외겸용 [10,000]원",신용,"{'주유': 'GS칼텍스 주유소 이용 시 최저가 보장 혜택과 앱 결제 시 추가 5% 청구 할인 제공, 전월 이용 금액 40만원 이상 시 월 최대 3만원 할인.', '기타 혜택(유의사항 등)': '전월 이용 금액 40만원 이상 시 주차·세차·정비 업종 5% 청구 할인, 40만원 미만 시 혜택 제외.'}"
굿데이올림카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/115/card_img/20273/115card.png,300000,"국내전용 [15,000]원 / 해외겸용 [20,000]원",신용,"{'교통': '버스, 지하철, 택시 업종에서 10% 청구할인 제공.', '주유': '주유소 및 충전소에서 리터당 60원 청구할인, 월 최대 10만원 한도.', '통신': '전화요금, 인터넷이용료, 케이블TV 업종에서 10% 청구할인 제공.', '마트/편의점': '대형마트에서 10% 청구할인 제공, 이용금액에 따라 할인 한도 차등 적용.', '푸드': '음식점, 커피전문점, 편의점, 약국에서 10% 추가 청구할인 제공.', '해외': '해외이용(해외직구) 시 5% 할인 캐시백 제공.', '기타 혜택(유의사항 등)': '학원 및 피트니스 업종에서 10% 추가 청구할인 제공.'}"
삼성카드 스페셜마일리지(스카이패스),삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/54/card_img/20135/54card.png,0,"국내전용 [97,000]원 / 해외겸용 [99,000]원",신용,"{'프리미엄': '아멕스 프리미엄 서비스는 아멕스 프리미엄카드 회원에게 다양한 할인 및 혜택을 제공하는 서비스입니다.', '기타 혜택(유의사항 등)': '대한항공 카드로 모든 가맹점에서 1,000원당 1 스카이패스 마일리지 적립, 선택형 옵션에 따라 특정 업종에서 1,000원당 2 마일리지 적립 가능.'}"
IBK포인트(신용),IBK기업은행,https://d1c5n4ri2guedi.cloudfront.net/card/2779/card_img/39564/2779card.png,500000,"국내전용 [21,000]원 / 해외겸용 [22,000]원",신용,"{'기타 혜택(유의사항 등)': '국내외 가맹점에서 결제 금액에 따라 최대 3.3% 적립되며, 월 적립한도는 5만 포인트입니다.'}"
DA카드의정석Ⅱ,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2655/card_img/32217/2655card.png,300000,"국내전용 [12,000]원 / 해외겸용 [12,000]원",신용,"{'공항라운지/PP': '국내 공항라운지 월 1회, 연 2회 무료 이용 가능 (MasterCard 브랜드 발급 시).', '기타 혜택(유의사항 등)': '모든 가맹점에서 신용결제 시 0.8%, 체크결제 시 0.5% 청구할인 제공, 생활업종 가맹점에서 추가로 0.5% 청구할인 가능.'}"
메리어트 본보이™ 더 베스트 신한카드,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/716/card_img/22190/716card.png,0,"국내전용 [264,000]원 / 해외겸용 [267,000]원",신용,"{'공항라운지/PP': '메리어트 본보이™ 더 베스트 카드 소지자는 The Lounge Members 앱을 통해 연 4회 전세계 공항 라운지를 무료로 이용할 수 있으며, 본인 및 동반 1인까지 가능하다.', '기타 혜택(유의사항 등)': '전세계 메리어트 참여 호텔에서 연 1회 무료 숙박권 제공, 국내 메리어트 호텔 조식 5만원 할인 서비스 연 2회, 메리어트 본보이™ 포인트 적립 및 엘리트 멤버십 자동 부여.'}"
